Date,Category,Amount,Notes
2026-03-31,Food,22.91,Daily meals
2026-03-31,Transportation,20.66,Fuel/Commute
2026-04-01,Rent,500.0,Monthly Fixed Rent
2026-04-01,Utilities,120.0,Electric & Water Bill
2026-04-01,Food,21.09,Daily meals
2026-04-01,Transportation,16.5,Fuel/Commute
2026-04-02,Food,30.02,Daily meals
2026-04-02,Transportation,29.99,Fuel/Commute
2026-04-03,Food,37.48,Daily meals
2026-04-03,Transportation,14.32,Fuel/Commute
2026-04-04,Food,55.2,Daily meals
2026-04-04,Transportation,20.79,Fuel/Commute
2026-04-04,Entertainment,115.09,Weekend leisure
2026-04-05,Food,54.54,Daily meals
2026-04-05,Transportation,11.13,Fuel/Commute
2026-04-05,Entertainment,89.55,Weekend leisure
2026-04-06,Food,47.63,Daily meals
2026-04-06,Transportation,24.66,Fuel/Commute
2026-04-07,Food,40.22,Daily meals
2026-04-07,Transportation,24.1,Fuel/Commute
2026-04-08,Food,47.49,Daily meals
2026-04-08,Transportation,12.54,Fuel/Commute
2026-04-09,Food,32.93,Daily meals
2026-04-10,Food,34.15,Daily meals
2026-04-10,Transportation,21.65,Fuel/Commute
2026-04-11,Food,72.88,Daily meals
2026-04-11,Entertainment,69.27,Weekend leisure
2026-04-12,Food,45.94,Daily meals
2026-04-12,Transportation,27.18,Fuel/Commute
2026-04-12,Entertainment,65.47,Weekend leisure
2026-04-13,Food,42.71,Daily meals
2026-04-14,Food,47.89,Daily meals
2026-04-15,Food,30.44,Daily meals
2026-04-15,Transportation,24.7,Fuel/Commute
2026-04-16,Food,42.83,Daily meals
2026-04-16,Transportation,16.32,Fuel/Commute
2026-04-17,Food,46.57,Daily meals
2026-04-18,Food,70.59,Daily meals
2026-04-18,Entertainment,41.82,Weekend leisure
2026-04-19,Food,56.96,Daily meals
2026-04-20,Food,44.67,Daily meals
2026-04-20,Transportation,23.73,Fuel/Commute
2026-04-21,Food,30.9,Daily meals
2026-04-21,Transportation,22.88,Fuel/Commute
2026-04-22,Food,45.27,Daily meals
2026-04-22,Transportation,15.15,Fuel/Commute
2026-04-23,Food,41.94,Daily meals
2026-04-23,Transportation,21.31,Fuel/Commute
2026-04-24,Food,39.12,Daily meals
2026-04-24,Transportation,26.2,Fuel/Commute
2026-04-25,Food,62.1,Daily meals
2026-04-25,Transportation,18.63,Fuel/Commute
2026-04-25,Entertainment,99.87,Weekend leisure
2026-04-26,Food,56.89,Daily meals
2026-04-26,Entertainment,62.44,Weekend leisure
2026-04-27,Food,49.65,Daily meals
2026-04-27,Transportation,18.92,Fuel/Commute
2026-04-28,Food,40.61,Daily meals
2026-04-28,Transportation,16.77,Fuel/Commute
2026-04-29,Food,47.78,Daily meals
2026-04-29,Transportation,22.16,Fuel/Commute
2026-04-30,Food,44.91,Daily meals
2026-05-01,Rent,500.0,Monthly Fixed Rent
2026-05-01,Utilities,120.0,Electric & Water Bill
2026-05-01,Food,25.73,Daily meals
2026-05-01,Transportation,23.88,Fuel/Commute
2026-05-02,Food,50.3,Daily meals
2026-05-02,Entertainment,75.59,Weekend leisure
2026-05-03,Food,74.11,Daily meals
2026-05-04,Food,24.81,Daily meals
2026-05-04,Transportation,29.02,Fuel/Commute
2026-05-05,Food,45.35,Daily meals
2026-05-06,Food,35.29,Daily meals
2026-05-06,Transportation,20.04,Fuel/Commute
2026-05-07,Food,32.07,Daily meals
2026-05-07,Transportation,26.74,Fuel/Commute
2026-05-08,Food,36.18,Daily meals
2026-05-08,Transportation,22.94,Fuel/Commute
2026-05-09,Food,59.31,Daily meals
2026-05-09,Entertainment,46.97,Weekend leisure
2026-05-10,Food,66.67,Daily meals
2026-05-10,Transportation,27.35,Fuel/Commute
2026-05-10,Entertainment,72.21,Weekend leisure
2026-05-11,Food,22.92,Daily meals
2026-05-11,Transportation,11.73,Fuel/Commute
2026-05-12,Food,28.92,Daily meals
2026-05-12,Transportation,11.33,Fuel/Commute
2026-05-13,Food,21.9,Daily meals
2026-05-13,Transportation,26.79,Fuel/Commute
2026-05-14,Food,46.6,Daily meals
2026-05-15,Food,40.01,Daily meals
2026-05-16,Food,51.66,Daily meals
2026-05-17,Food,45.44,Daily meals
2026-05-17,Transportation,13.02,Fuel/Commute
2026-05-17,Entertainment,80.73,Weekend leisure
2026-05-18,Food,40.94,Daily meals
2026-05-18,Transportation,21.73,Fuel/Commute
2026-05-19,Food,34.2,Daily meals
2026-05-20,Food,30.78,Daily meals
2026-05-20,Transportation,26.54,Fuel/Commute
2026-05-21,Food,40.51,Daily meals
2026-05-22,Food,29.57,Daily meals
2026-05-23,Food,55.15,Daily meals
2026-05-23,Transportation,22.98,Fuel/Commute
2026-05-23,Entertainment,108.25,Weekend leisure
2026-05-24,Food,48.68,Daily meals
2026-05-24,Entertainment,46.43,Weekend leisure
2026-05-25,Food,45.85,Daily meals
2026-05-25,Transportation,11.22,Fuel/Commute
2026-05-26,Food,37.72,Daily meals
2026-05-27,Food,25.59,Daily meals
2026-05-27,Transportation,23.91,Fuel/Commute
2026-05-28,Food,20.83,Daily meals
2026-05-29,Food,28.06,Daily meals
2026-05-29,Transportation,26.48,Fuel/Commute
2026-05-30,Food,57.02,Daily meals
2026-05-30,Transportation,25.13,Fuel/Commute
2026-05-30,Entertainment,42.32,Weekend leisure
2026-05-31,Food,66.01,Daily meals
2026-05-31,Transportation,25.93,Fuel/Commute
2026-05-31,Entertainment,58.71,Weekend leisure
2026-06-01,Rent,500.0,Monthly Fixed Rent
2026-06-01,Utilities,120.0,Electric & Water Bill
2026-06-01,Food,43.53,Daily meals
2026-06-01,Transportation,25.38,Fuel/Commute
2026-06-02,Food,25.09,Daily meals
2026-06-02,Transportation,18.64,Fuel/Commute
2026-06-03,Food,28.79,Daily meals
